t;wartosc
0;1.5
1;1.00611
2;0.824472
3;1.3
4;1.5
5;1.5
6;1.00611
7;0.824472
8;1.3
9;1.5
10;1.5
11;1.00611
12;0.824472
13;1.3
14;1.5
15;1.29389
16;0.706107
17;0.524472
18;1
19;1.47553
20;1.29389
21;0.706107
22;0.524472
23;1
24;1.47553
25;1.29389
26;0.706107
27;0.524472
28;1
29;1.47553
30;1.5
31;1.00611
32;0.824472
33;1.3
34;1.5
35;1.5
36;1.00611
37;0.824472
38;1.3
39;1.5
40;1.5
41;1.00611
42;0.824472
43;1.3
44;1.5
45;1.29389
46;0.706107
47;0.524472
48;1
49;1.47553
50;1.29389
51;0.706107
52;0.524472
53;1
54;1.47553
55;1.29389
56;0.706107
57;0.524472
58;1
59;1.47553
60;1.5
61;1.00611
62;0.824472
63;1.3
64;1.5
65;1.5
66;1.00611
67;0.824472
68;1.3
69;1.5
70;1.5
71;1.00611
72;0.824472
73;1.3
74;1.5
75;1.29389
76;0.706107
77;0.524472
78;1
79;1.47553
80;1.29389
81;0.706107
82;0.524472
83;1
84;1.47553
85;1.29389
86;0.706107
87;0.524472
88;1
89;1.47553
90;1.5
91;1.00611
92;0.824472
93;1.3
94;1.5
95;1.5
96;1.00611
97;0.824472
98;1.3
99;1.5
