t;wartosc_zadana;wyjscie;sterowanie
0;1.5;0;2.5875
1;1.00611;2.07;1.32304
2;0.824472;0.489178;-2.23772
3;1.3;-1.33604;2.05445
4;1.5;2.0765;4.82677
5;1.5;2.90225;-1.51545
6;1.00611;-1.37146;-2.49887
7;0.824472;-0.8765;4.85078
8;1.3;3.63847;3.45493
9;1.5;1.57451;-3.70856
10;1.5;-2.34154;1.31046
11;1.00611;2.00775;6.37878
12;0.824472;3.84558;-2.38748
13;1.3;-2.3084;-3.07299
14;1.5;-0.812386;8.11436
15;1.29389;5.93204;3.11265
16;0.706107;0.725641;-8.59128
17;0.524472;-5.36901;2.35608
18;1;3.35475;11.6546
19;1.47553;6.87512;-4.40556
20;1.29389;-4.27035;-7.72713
21;0.706107;-3.19534;11.268
22;0.524472;8.45226;5.4993
23;1;1.34651;-12.8049
24;1.47553;-8.11952;3.81011
25;1.29389;5.35204;16.8093
26;0.706107;9.65776;-9.98014
27;0.524472;-8.82828;-12.6778
28;1;-5.19453;20.6841
29;1.47553;15.1503;8.88013
30;1.5;1.81378;-24.0754
31;1.00611;-15.3103;4.49994
32;0.824472;7.76996;28.4876
33;1.3;16.3045;-15.2656
34;1.5;-13.9431;-21.4096
35;1.5;-9.00088;32.2507
36;1.00611;23.7742;12.7049
37;0.824472;1.62905;-40.7202
38;1.3;-26.0137;8.61444
39;1.5;13.6323;47.5538
40;1.5;26.9482;-28.5334
41;1.00611;-25.4426;-38.0134
42;0.824472;-16.35;54.3284
43;1.3;39.8408;21.8638
44;1.5;2.90008;-69.0672
45;1.29389;-44.2672;11.9036
46;0.706107;21.0481;77.3587
47;0.524472;43.5913;-48.6337
48;1;-43.3456;-63.0671
49;1.47553;-27.081;91.2225
50;1.29389;66.6673;33.4904
51;0.706107;2.47741;-119.114
52;0.524472;-76.2662;20.7895
53;1;35.8461;131.595
54;1.47553;73.9501;-83.0076
55;1.29389;-73.8651;-108.692
56;0.706107;-47.2208;151.508
57;0.524472;110.759;55.6632
58;1;3.57258;-199.333
59;1.47553;-127.639;35.6655
60;1.5;60.548;218.721
61;1.00611;122.415;-143.106
62;0.824472;-126.441;-182.109
63;1.3;-78.8179;257.608
64;1.5;187.792;92.0376
65;1.5;4.56948;-338.856
66;1.00611;-216.761;59.7092
67;0.824472;101.728;367.653
68;1.3;205.212;-242.181
69;1.5;-213.632;-305.694
70;1.5;-132.017;432.662
71;1.00611;314.959;150.378
72;0.824472;4.58055;-571.498
73;1.3;-365.253;104.322
74;1.5;173.554;617.878
75;1.29389;344;-414.089
76;0.706107;-363.695;-515.049
77;0.524472;-221.97;730.913
78;1;531.09;249.78
79;1.47553;4.98706;-964.057
80;1.29389;-615.49;177.989
81;0.706107;293.428;1036.47
82;0.524472;575.729;-702.66
83;1;-615.416;-861.783
84;1.47553;-369.594;1234.65
85;1.29389;895.527;410.758
86;0.706107;1.46254;-1627.83
87;0.524472;-1037.89;308.552
88;1;499.58;1744.58
89;1.47553;967.217;-1192.8
90;1.5;-1041.77;-1446.9
91;1.00611;-618.284;2084.09
92;0.824472;1509.45;680.206
93;1.3;-5.77813;-2742.46
94;1.5;-1746.28;534.041
95;1.5;850.052;2931.14
96;1.00611;1621.72;-2026.11
97;0.824472;-1763.95;-2424.96
98;1.3;-1031.56;3522.28
99;1.5;2546.96;1125.46
100;1.5;-24.0835;-4625.5
101;1.00611;-2941.48;921.935
102;0.824472;1445.57;4929.04
103;1.3;2721.83;-3436.89
104;1.5;-2983.95;-4064
105;1.29389;-1720.85;5948.5
106;0.706107;4294.75;1859.57
107;0.524472;-65.609;-7797
108;1;-4951.71;1594.98
109;1.47553;2460.57;8288.32
110;1.29389;4568;-5833.66
111;0.706107;-5050.15;-6812.41
112;0.524472;-2871.24;10050.9
113;1;7245.42;3077.22
114;1.47553;-149.115;-13142.8
115;1.29389;-8335.5;2753.45
116;0.706107;4185.4;13935
117;0.524472;7665.32;-9896.15
118;1;-8543.2;-11412.9
119;1.47553;-4786.3;16981.4
120;1.5;12222.5;5085.26
121;1.00611;-319.243;-22154.6
122;0.824472;-14031.8;4755.69
123;1.3;7122.02;23434.1
124;1.5;12866.1;-16787
125;1.5;-14452.1;-19124.2
126;1.00611;-7980.65;28688.5
127;0.824472;20617.6;8404.4
128;1.3;-649.836;-37340.4
129;1.5;-23617.6;8208.34
130;1.5;12117.2;39402
131;1.00611;21591.2;-28476
132;0.824472;-24447.8;-32039.3
133;1.3;-13302.2;48469.5
134;1.5;34780.6;13884.1
135;1.29389;-1283.56;-62937.9
136;0.706107;-39753.4;14157.5
137;0.524472;20612.7;66252.7
138;1;36234.5;-48296.5
139;1.47553;-41352.6;-53673.6
140;1.29389;-22168.9;81883.2
141;0.706107;58668.6;22924.8
142;0.524472;-2481.49;-106075
143;1;-66908;24411.1
144;1.47553;35064.1;111398
145;1.29389;60806.6;-81911.7
146;0.706107;-69946.2;-89912.3
147;0.524472;-36940.9;138332
148;1;98964.5;37841.4
149;1.47553;-4714.66;-178775
150;1.5;-112609;42063.2
151;1.00611;59637.9;187298
152;0.824472;102037;-138910
153;1.3;-118303;-150603
154;1.5;-61542.9;233689
155;1.5;166932;62429.5
156;1.00611;-8846.15;-301294
157;0.824472;-189521;72447.6
158;1.3;101425;314906
159;1.5;171220;-235555
160;1.5;-200085;-252250
161;1.00611;-102516;394765
162;0.824472;281572;102948
163;1.3;-16422.9;-507762
164;1.5;-318952;124719
165;1.29389;172474;529437
166;0.706107;287294;-399418
167;0.524472;-338389;-422470
168;1;-170738;666851
169;1.47553;474932;169679
170;1.29389;-30229.1;-855699
171;0.706107;-536767;214604
172;0.524472;293263;890096
173;1;482040;-677223
174;1.47553;-572270;-707510
175;1.29389;-284313;1.12643e+06
176;0.706107;801051;279513
177;0.524472;-55244.7;-1.44202e+06
178;1;-903301;369108
179;1.47553;498594;1.49639e+06
180;1.5;808763;-1.14819e+06
181;1.00611;-967766;-1.18479e+06
182;0.824472;-473357;1.90269e+06
183;1.3;1.35107e+06;460195
184;1.5;-100344;-2.43001e+06
185;1.5;-1.52009e+06;634570
186;1.00611;847603;2.5156e+06
187;0.824472;1.35687e+06;-1.94655e+06
188;1.3;-1.63653e+06;-1.98392e+06
189;1.5;-787958;3.2138e+06
190;1.5;2.2787e+06;757224
191;1.00611;-181311;-4.09484e+06
192;0.824472;-2.55795e+06;1.09051e+06
193;1.3;1.44077e+06;4.22887e+06
194;1.5;2.27635e+06;-3.29984e+06
195;1.29389;-2.76733e+06;-3.32182e+06
196;0.706107;-1.31142e+06;5.42822e+06
197;0.524472;3.84313e+06;1.24521e+06
198;1;-326115;-6.90009e+06
199;1.47553;-4.30432e+06;1.87329e+06
