t;wartosc
0;1.45106
1;1.45106
2;1.08779
3;0.5
4;-0.0877853
5;-0.451057
6;-0.951057
7;-0.587785
8;0
9;0.587785
10;0.951057
11;0.951057
12;0.587785
13;0
14;-0.587785
15;-0.951057
16;-0.951057
17;-0.587785
18;0
19;0.587785
20;1.45106
21;1.45106
22;1.08779
23;0.5
24;-0.0877853
25;-0.451057
26;-0.951057
27;-0.587785
28;0
29;0.587785
30;0.951057
31;0.951057
32;0.587785
33;0
34;-0.587785
35;-0.951057
36;-0.951057
37;-0.587785
38;0
39;0.587785
40;1.45106
41;1.45106
42;1.08779
43;0.5
44;-0.0877853
45;-0.451057
46;-0.951057
47;-0.587785
48;0
49;0.587785
50;0.951057
51;0.951057
52;0.587785
53;0
54;-0.587785
55;-0.951057
56;-0.951057
57;-0.587785
58;0
59;0.587785
60;1.45106
61;1.45106
62;1.08779
63;0.5
64;-0.0877853
65;-0.451057
66;-0.951057
67;-0.587785
68;0
69;0.587785
70;0.951057
71;0.951057
72;0.587785
73;0
74;-0.587785
75;-0.951057
76;-0.951057
77;-0.587785
78;0
79;0.587785
80;1.45106
81;1.45106
82;1.08779
83;0.5
84;-0.0877853
85;-0.451057
86;-0.951057
87;-0.587785
88;0
89;0.587785
90;0.951057
91;0.951057
92;0.587785
93;0
94;-0.587785
95;-0.951057
96;-0.951057
97;-0.587785
98;0
99;0.587785
