t;wartosc
0;1.27779
1;1.41931
2;1.26968
3;1.55067
4;1.45196
5;1.42252
6;1.20282
7;1.18735
8;1.1161
9;0.846615
10;0.83531
11;0.535339
12;0.409033
13;0.572675
14;0.455691
15;0.758948
16;0.614908
17;0.563988
18;0.902242
19;1.09513
20;1.40601
21;1.33532
22;1.42244
23;1.53735
24;1.46218
25;1.63648
26;1.25308
27;1.1229
28;0.746841
29;0.728963
30;0.699339
31;0.755544
32;0.673448
33;0.601786
34;0.497712
35;0.762209
36;0.727832
37;0.956467
38;1.04834
39;1.20279
40;1.36492
41;1.39041
42;1.29007
43;1.69541
44;1.408
45;1.45619
46;1.22983
47;1.22804
48;0.988594
49;0.861924
50;0.774753
51;0.764592
52;0.653245
53;0.618607
54;0.298965
55;0.724407
56;0.546087
57;0.860495
58;0.877293
59;0.9659
60;1.41756
61;1.21312
62;1.31276
63;1.32544
64;1.6386
65;1.32444
66;1.37693
67;1.1421
68;1.10827
69;0.881421
70;0.591988
71;0.58708
72;0.295229
73;0.542815
74;0.551225
75;0.645552
76;0.736379
77;1.16628
78;1.02997
79;0.801998
80;1.49874
81;1.17406
82;1.59163
83;1.53414
84;1.47539
85;1.44904
86;1.17497
87;1.31056
88;0.955984
89;0.947362
90;0.666705
91;0.609359
92;0.56714
93;0.437348
94;0.45466
95;0.692539
96;0.631626
97;0.867951
98;1.14929
99;0.884678
