t;wartosc_zadana;wyjscie;sterowanie
0;0.94121;0;1.62359
1;1.01011;1.29887;1.4836
2;1.22642;0.829691;-0.285103
3;0.85389;-0.0868812;0.30558
4;0.859652;0.458129;1.86097
5;0.921285;1.31436;0.776531
6;1.11372;0.396108;-0.117279
7;0.911793;0.153977;1.35883
8;1.00009;1.11277;1.70674
9;0.977397;1.09466;-0.0127239
10;0.836763;0.000821933;0.151587
11;0.953122;0.393334;2.25596
12;0.823983;1.6628;0.991066
13;1.26767;0.451664;-0.170907
14;0.850529;0.197415;1.47965
15;1.00477;1.20058;1.91655
16;0.859358;1.25033;-0.127215
17;1.35114;-0.110103;1.05207
18;0.704131;1.18555;2.11851
19;0.881583;1.29827;0.0060173
20;0.979062;-0.00625403;0.389021
21;1.0386;0.638887;2.70823
22;0.883152;1.94837;0.912185
23;1.47172;0.380946;0.0193769
24;0.547018;0.441433;1.35686
25;1.56708;1.00609;2.7758
26;0.764583;2.06425;0.174335
27;0.845818;-0.15713;-0.994192
28;1.01263;-0.199006;3.36391
29;1.51355;2.63203;3.49118
30;0.834436;2.02677;-2.56688
31;1.15276;-1.85709;0.205655
32;0.770057;1.15736;5.76647
33;0.764484;3.70652;-0.515145
34;1.12418;-1.02874;-3.13307
35;1.00953;-1.21984;5.39047
36;1.19615;4.22982;4.44859
37;0.753151;2.10103;-5.56535
38;1.12386;-3.79037;0.668788
39;0.815531;2.0199;9.17763
40;0.975548;5.65343;-2.22655
41;1.13708;-2.61988;-6.08619
42;0.810492;-2.6303;8.44616
43;1.07584;6.54546;6.17197
44;0.776363;2.50643;-9.81985
45;0.482756;-6.60489;-0.290048
46;0.672573;2.05454;14.0033
47;1.00758;8.70059;-3.16711
48;1.2972;-4.09996;-10.933
49;1.16285;-5.24802;12.5333
50;0.753048;10.0075;9.39815
51;0.918175;3.45683;-16.178
52;0.912809;-10.8834;0.0127135
53;1.14043;3.60995;22.2062
54;1.15453;13.6014;-7.09476
55;1.04432;-7.99326;-19.0353
56;0.732642;-9.34007;20.1488
57;1.01258;15.9532;15.5325
58;1.21585;5.72459;-27.1044
59;0.906464;-18.4318;-1.79985
60;1.17738;4.65355;35.7673
61;0.884067;21.9645;-11.8807
62;0.740305;-13.5502;-33.1097
63;0.994289;-16.7647;32.9201
64;0.941784;26.3434;25.885
65;1.06961;9.27149;-47.3074
66;0.749419;-32.3801;-4.37777
67;1.0985;7.03698;60.3075
68;1.18875;36.8984;-20.1468
69;0.946313;-23.0868;-57.0762
70;1.08755;-29.2163;54.1894
71;1.01187;43.5587;43.6035
72;1.05357;15.5742;-80.5045
73;0.799159;-55.3833;-8.88988
74;1.41135;10.8845;101.629
75;1.33498;62.2145;-34.3433
76;0.927442;-39.4764;-98.2466
77;0.854758;-50.6874;90.079
78;1.16193;72.6444;74.3419
79;0.824804;26.7518;-137.113
80;1.09228;-94.7959;-16.9968
81;0.910105;17.2975;170.687
82;0.929069;104.232;-59.2242
83;1.14454;-67.6791;-166.031
84;1.17046;-85.6175;152.362
85;1.23415;122.614;123.247
86;0.861423;43.3841;-232.939
87;1.42795;-160.727;-27.0679
88;1.66986;30.1885;288.278
89;0.952049;175.658;-103.731
90;0.840127;-116.873;-281.861
91;0.75934;-145.198;258.997
92;0.895654;207.873;205.816
93;0.871945;71.104;-396.394
94;1.13111;-273.007;-44.6587
95;1.30994;51.6125;485.684
96;1.13549;295.184;-178.012
97;1.07434;-199.012;-474.671
98;0.683455;-244.137;437.833
99;0.973739;350.701;343.614
