t;zadana;wyjscie
0;0.936935;0.936935
1;0.924016;0.924016
2;0.878292;0.878292
3;1.27143;1.27143
4;1.00391;1.00391
5;1.26472;1.26472
6;0.981751;0.981751
7;0.958372;0.958372
8;0.677583;0.677583
9;1.05633;1.05633
10;1.15704;1.15704
11;0.936749;0.936749
12;1.07076;1.07076
13;0.945678;0.945678
14;0.645115;0.645115
15;0.988197;0.988197
16;0.692555;0.692555
17;0.989219;0.989219
18;1.07733;1.07733
19;1.02583;1.02583
20;1.30862;1.30862
21;0.922393;0.922393
22;1.01526;1.01526
23;0.871016;0.871016
24;0.663653;0.663653
25;0.819937;0.819937
26;0.923263;0.923263
27;0.882483;0.882483
28;0.973923;0.973923
29;0.525205;0.525205
30;1.20203;1.20203
31;0.803775;0.803775
32;1.09301;1.09301
33;1.23501;1.23501
34;0.690171;0.690171
35;0.811138;0.811138
36;0.895099;0.895099
37;1.21224;1.21224
38;1.30525;1.30525
39;0.78257;0.78257
40;0.920987;0.920987
41;0.626121;0.626121
42;1.17733;1.17733
43;0.995084;0.995084
44;1.0562;1.0562
45;0.913882;0.913882
46;0.943555;0.943555
47;1.19636;1.19636
48;0.95463;0.95463
49;1.13601;1.13601
50;1.02741;1.02741
51;0.774841;0.774841
52;0.965703;0.965703
53;0.992099;0.992099
54;1.30291;1.30291
55;0.974699;0.974699
56;1.00614;1.00614
57;0.926349;0.926349
58;1.19666;1.19666
59;0.970055;0.970055
60;0.883036;0.883036
61;0.913483;0.913483
62;1.28393;1.28393
63;0.974431;0.974431
64;0.859101;0.859101
65;1.04965;1.04965
66;1.36301;1.36301
67;1.2302;1.2302
68;1.26489;1.26489
69;0.830116;0.830116
70;1.20313;1.20313
71;1.23344;1.23344
72;0.983572;0.983572
73;0.982181;0.982181
74;0.987472;0.987472
75;0.886266;0.886266
76;1.09013;1.09013
77;0.899242;0.899242
78;1.19002;1.19002
79;0.899581;0.899581
80;1.36472;1.36472
81;0.813142;0.813142
82;1.04923;1.04923
83;0.93245;0.93245
84;1.17697;1.17697
85;0.842447;0.842447
86;0.950334;0.950334
87;0.922498;0.922498
88;0.816738;0.816738
89;0.742926;0.742926
90;1.10554;1.10554
91;0.727541;0.727541
92;0.750072;0.750072
93;0.920669;0.920669
94;0.937099;0.937099
95;0.760722;0.760722
96;0.718841;0.718841
97;1.19094;1.19094
98;0.88717;0.88717
99;1.08719;1.08719
